contract_id,order,section_title,section_id,text,source,confidence
CONDITIONS OF CONTRACT,1,Definitions 9,definitions,"Headings and Marginal Notes	20
Interpretation	20
Notices, Consents, Approvals, Certificates and Determinations	21
Authorized Representatives	21
Engineer and Engineer’s Representative
Engineer’s Duties and Authority	23
Engineer’s Representative	24
Engineer’s Authority to Delegate	24
Appointment of Assistants	25
Instructions in Writing	25
Engineer to Act Impartially	26
Assignment and Subcontracting
Assignment of Contract	27
Subcontracting	27
Assignment of Subcontractor’s Obligations	28
Contract Documents
Law	29
Language	29
Priority of Contract Documents	29
Modification of the Contract	31
Custody and Supply of Drawings and Other Documents	31
One Copy of Documents to be Kept on Site	33
Notice of Disruption of Progress	33
Delays and Cost of Delay in Issuing Documents	33
Failure by Contractor to Submit Documents	34
Supplementary Drawings, Specifications, Instructions
and Other Documents	34
Permanent Works Designed by Contractor	34
Responsibility Unaffected by Approval	34
General Obligations
Contractor’s General Responsibilities	35
Site Operations and Methods of Construction	36",docx,0.880
CONDITIONS OF CONTRACT,2,Decennial Liability 36,,"Contract Agreement	37
Performance Security	38
Period of Validity of Performance Security	39
Claims under Performance Security	39
Default of Institution Providing Security	39
Inspection of Site	40
Access to Data	41
Sufficiency of Tender
41
Adverse Physical Obstructions or Conditions	41
Procedures for the Contractor	41
Procedures for the Engineer	43
Conditions Reasonably Foreseeable	45
Work to be in Accordance with Contract	45
Program to be Submitted	45
Revised Program	47
Cash Flow Estimate to be Submitted	47
Contractor not Relieved of Duties or Responsibilities	47
Contractor’s Superintendence	47
Language Ability of the Contractor’s Superintendent	48
Contractor’s Employees	48
Engineer at Liberty to Object	49
Setting-Out	49
Orientation Towards Mecca	50
Boreholes and Exploratory Excavations	50
Safety, Security and Protection of the Environment	50
Employer’s Responsibilities	51
Care of Works	51
Responsibility to Rectify Loss or Damage	52
Loss or Damage Due to Employer’s Risk	52
Employer’s Risk	53
Contractor’s Risk	54
Insurance of Works and Contractor’s Equipment	54
Scope of Cover	55
Responsibilities for Amounts not Recovered	55
Exclusions	56
Damage to Persons and Property	56
Exceptions	57
Indemnity by Employer	57
Third Party Insurance (Including Employer’s Property)	57
Minimum Amount of Insurance	58
Cross Liabilities	58
Accident or Injury to Workmen	58
Insurance Against Accident to Workmen	59
Evidence and Terms of Insurances	59
Adequacy of Insurances	59
Remedy on Contractor’s Failure to Insure	60
Compliance with Policy Conditions	60
Compliance with Statutes and Regulations	60
Fossils	61
Patent Rights	61
Royalties	62
Interference with Traffic and Adjoining Properties	62
Avoidance of Damage to Roads	63
Transport of Contractor’s Equipment or Temporary Works	63
Transport of Materials, Equipment, or Plant	63
Waterborne Traffic	64
Opportunities for Other Contractors	64
Facilities for Other Contractors	65
Contractor to Keep Site Clear	65
Clearance of Site on Completion	66
Labor
Engagement of Staff and Labor	67
Supply of Water	67
Alcoholic Beverages and Drugs	67
Arms and Ammunition	67
Festivals and Religious Customs	67
Epidemics	67
Disorderly Conduct	67
Labor Laws	68
Observance by Subcontractors	68
Returns of Labor and Contractor’s Equipment	68
Records of Safety and Health
68
Reporting Accidents	69
Protection of Labor	69
Materials, Plant and Workmanship
Quality of Materials, Plant, Equipment,	Supplies and Workmanship	70
Cost of Samples	75
Cost of Tests	75
Cost of Tests not Provided for	77
Engineer’s Determination where	Tests	not Provided for	77
Inspection of Operations	77
Inspection and Testing	78
Dates for Inspection and Testing	79
Rejection	79
Independent Inspection	80
Examination of Work before Covering	up	80
Uncovering and Making Openings	81
Removal of Improper Work, Materials, Plant or Equipment 81
Default of Contractor in Compliance	82
Suspension
Suspension of Work	83
Engineer’s Determination Following Suspension	83
Suspensions Lasting More than 84 Days	83
Commencement and Delays
Commencement	85
Possession of Site and Access Thereto	86
Failure to Give Possession	86
Rights of Way and Facilities	87
Use of the Site	87
Time for Completion	88
Extension of Time for Completion	88
Contractor to Provide Notification and Detailed Particulars	88
Interim Determination of Extension	89
Restrictions on Working Hours	89
Engineer’s Overtime	90
Rate of Progress	90
Employer’s Acceleration	91
Compensation for Delays	92
Reduction of Compensation Requirements	92
Taking-Over Certificate	92
Taking Over of Sections or Parts	94
Substantial Completion of Parts	94
Surfaces Requiring Reinstatement	94
Prevention from Testing	94",docx,0.514
CONDITIONS OF CONTRACT,3,Defects Liability Period 96,,"Completion of Outstanding Work and Remedying Defects	96
Cost of Remedying Defects	96
Contractor’s Failure to Carry out Instructions	97
Temporary Reinstatement	97",docx,0.500
CONDITIONS OF CONTRACT,4,Extension of Defects Liability 98,,"Contractor to Search	98
Alterations, Additions and Omissions
Variations	100
Instructions for Variations	101
Valuation of Variations	102
Power of Engineer to Fix Rates	103
Variations Exceeding 15 Percent	103
Daywork	104
Procedure for Claims
Notice of Claims	106
Contemporary Records	106
Substantiation of Claims	106
Failure to Comply	109",docx,0.471
CONDITIONS OF CONTRACT,5,Payment of Claims 109,,"Contractor’s Equipment, Temporary Works and Materials
Contractor’s Equipment, Temporary Works and Materials;
Exclusive Use for the Works	110
Employer not Liable for Damage	110
Customs Clearance	110
Conditions of Hire of Contractor’s Equipment	110
Costs for the Purpose of Clause 63	111
Incorporation of Clause in Subcontract	111
Approval of Materials not Implied	111
Measurement
Quantities	112
Errors and Omissions in the Bill of Quantities	112
Works to be Measured	112
Method of Measurement	113
Breakdown of Lump Sum Items	113
Lump Sum Items not to Be Remeasured	114
Provisional Sums
Definition of “Provisional Sums”	115
Use of Provisional Sums	116
Production of Vouchers	116
Definition of “Nominated Subcontractors”	117
Nominated Subcontractors; Objection to the Nomination	117
Design Requirements to be Expressly Stated	118
Payments to Nominated Subcontractors	118
Certification of Payments to Nominated Subcontractors	118",docx,0.588
CONDITIONS OF CONTRACT,6,Certificates and Payment,,"Monthly Statements	120
Monthly Payments	121
Materials, Plant and Equipment for the Permanent Works	122",docx,0.619
CONDITIONS OF CONTRACT,7,Currency of Account and Place of Payment 124,,Retention Money	124,docx,0.547
CONDITIONS OF CONTRACT,8,Time of Payment 127,,"Correction of Certificates	128
Statement at Completion	128
Final Statement	129
Discharge	129",docx,0.722
CONDITIONS OF CONTRACT,9,Defects Liability Certificate 131,,"Unfulfilled Obligations	132
Expulsion and Remedies
Default of Contractor and Expulsion	134
Valuation at Date of Expulsion	135",docx,0.526
CONDITIONS OF CONTRACT,10,Payment After Expulsion 136,,"Assignment of Benefit of Agreement	136
Urgent Remedial Work	136
Special Risks and Termination",docx,0.500
