contract_id,order,section_title,section_id,text,source,confidence
CONTRACT of executor__headings_fixed,1,PREFACE,preface,"CONTRACT No_______________________________
___________city           «____»____________________, 2025 year
______________________, hereinafter referred to as the «Executor», represented by _____________________, acting under the _______________________, on the one part, and ____________________, Russian Federation, hereinafter referred to as the «Customer», represented by
______________, acting under _______________, on the other part, together referred to as the “Parties”, have concluded the present Contract as per following:
SUBJECT OF CONTRACT
The Executor undertakes to deliver and the Customer undertakes to accept and pay for Goods as per Specification №1, which is an integral part of the present Contract (Appendixes №1).
Type of trade deal: purchase and sale.
The customs commodity codes: as per Specification №1 (Appendix №1).
The country of origin of the Goods: ___________.
The manufacturer of the Goods: ______________.
The delivery basis is _______________ (INCOTERMS 2020).
The Goods are purchased for internal needs.
The Goods are new, not used, not restored, not taken out of production and is not an exhibition model, the year of release is not earlier than 2022.",docx,1.000
CONTRACT of executor__headings_fixed,2,QUALITY AND COMPLETENESS,,"Quality of delivered Goods as well as marking and packing shall correspond to normative-technical documentation valid at the factory-manufacturer of the present Goods.
Executor provides the Customer with following documents:
Certificate of origin issued by Chamber of Commerce of the country of export;
The certificate of quality or the document replacing it;
packing list;
invoice;
waybill.
- certificate of conformity
The ""Executor"" guarantees high quality of the supplied Goods as well as their compliance with the requirements specified in this contract. At delivery of the Goods the following warranty periods are established: twelve months from the moment of putting the equipment into operation, but no more than eighteen months from the date of delivery, during which the ""Executor"" is responsible for the quality of the Goods provided that the conditions of correct storage and operation of the supplied Goods are observed.
If the Customer reveals any defects of the Goods or its non-compliance with conditions of the present Contract within warranty period, the Executor shall eliminate defects and/or replace the defected Goods with the new ones of corresponding quality at its own expense within ___ days from the moment of receipt of a claim.
The warranty period specified in the Paragraph 2.3 herein in relation to the Goods with eliminated defects or the new Goods, delivered instead of defected ones, shall be prolonged for the period spent by the Executor for elimination of defects.
The Goods replacement as per p.2.4 herein will be based on __________________ (INCOTERMS 2020).",docx,0.591
CONTRACT of executor__headings_fixed,3,PACKING AND MARKING,packing_marking,"The marking of the Goods must comply with the requirements of Rules and Norms of International Transportations.
Marking:
in relation to the quality, the Goods are marked in accordance with certificate of quality or the document replacing it and packing list;
in relation to the quantity – in accordance with the number of packages and weight specified in the waybill, packing list and invoice.",docx,0.900
CONTRACT of executor__headings_fixed,4,ORDER AND CONDITIONS OF DELIVERY,delivery_terms,"Shipment and delivery of Goods under the present Contract shall be carried out by ______transport based on _______________(as per INCOTERMS 2020) within ____days from the date of Letter of credit’s issuing according to the point 6.1.1.
The point of shipment of the Goods in accordance with the Section 13 of this Contract.
The date of shipment of the Goods shall be the date on the stamp of the point of departure on the waybill.
The delivery period of the Goods to the destination point is determined in accordance with the current rules for the carriage of cargo by _______transport.
The Executor undertakes to notify the Customer by fax or e-mail about the readiness of the Goods for shipment 10 days prior to shipment.
Within 3 days after the shipment, the Executor shall send to the Customer the fax or e-mail message containing information about the date of shipment, waybill number, description of the Goods, the number of packages and the weight of the cargo.
The Executor shall send to the Customer the following forwarding documents with the cargo:
- The copy of invoice on behalf of the Executor under this contract;
- The copies of documents certifying the quality, completeness and origin of the Goods.
-certificate of conformity
The originals of the above documents are sent to the address of the ""Customer"" by post mail.
The prior delivery of the Goods, the delivery of the Goods in parts are acceptable only with written consent from the Customer.
The delivery of the Goods to be accomplished within the terms of the Contract validity.
PRICE AND TOTAL AMOUNT OF THE CONTRACT
The price for Goods is set in _____________, currency code ____________, VAT rate 0%, delivery basis _____________ (as per INCOTERMS 2020) and includes: the price of the Goods, export customs expenses in Consignor’s country, packing, marking and certificate of origin charges, transportation cost and determined by the Specification №1, which is an integral part of the present Contract (Appendix №1).
The total amount of the Contract ___________ (______________) ___________, VAT rate-0%.",docx,0.900
CONTRACT of executor__headings_fixed,5,PAYMENT CONDITIONS,payment_terms,"Payments under the present Contract to be made in _________, The currency code: ___________.
The payment shall be made by the issuing irrevocable, divisible, unconfirmed Letter of credit in Customer’s bank, submitted according to “Uniform Customs and Practice for Documentary Credits” (International Chamber of Commerce, 600 edition, version as of 2007).",docx,0.900
CONTRACT of executor__headings_fixed,6,The payment is made due to own currency means.,payment_terms,"A letter of credit is issued in the name of the Executor for an agreed consignment of Goods, the amount of the letter of credit must be a multiple of the container rate of shipment.
The timeframe of the Letter of Credit are set by the Parties upon the advance written coordination.
The period of the Letter of Credit validity is ________ days.
The Letter of Credit fulfillment for the delivered batch of Goods is made, against the provision of the Executor’s bank to the executing bank of the following package of documents:
- The invoice on behalf of the direct Executor under the Contract - 1 original;
- original/double copy of the bill of lading confirming the shipment of the Goods  – 1  original;
The Certificate of origin issued by authorized body of the country of export – 1  copy;
act of acceptance jf goods of incoming control, signet by authorized specialist of the «Parties».
The Customer provides to the Nominated bank the copy of waybill with the Customs office mark of the destination point.
The Letter of Credit fulfillment can be also made in case of provision of the above and foregoing documents issued by any third Party on behalf of the Executor, within the present Contract, except the invoice.
The presentation of documents by the Executor’s Bank to the Executive Bank in Russian language is acceptable.
In case of the shipment without a Letter of Credit issuing to the Executor’s favor (with written Customer’s consent), the Customer shall make the payment within 30 calendar days from the moment of customs registration of Goods in IM-40 mode at destination.
All expenses for Letter of Credit issuing and its fulfillment, as well as cash transfer costs inside the Russian Federation are at the Customer’s expense and outside the Russian Federation are at the Executor’s expense.
All customs expenses concerned with the customs clearance of the Goods arriving by the guarantee liability (specified in Section 2 of the present Contract), and the Goods arriving instead of defective Goods, are covered by the Executor in accordance with the Customer’s invoice.
The costs of amending the terms of the letter of credit shall be borne by the initiating party.
Bank commission for discrepancies in the documents during the execution of the letter of credit is covered by the « Executor ».",docx,0.900
CONTRACT of executor__headings_fixed,7,ORDER OF GOODS ACCEPTANCE,acceptance,"The Goods acceptance by quality and quantity is accepted in the Customer’s warehouse. Concerning the Goods’ quality the acceptance is carried out by the quality certificate or the document replacing it, issued by the Manufacturer; concerning the quantity – according to the number of packages, specified in the waybill.
The accusing call of the Executor’s representative shall be obligatory at determination of shortage in weight, inadequate quality or incompleteness of the Goods, as well as inadequate quality of package and packing is obligatory. The Executor shall notify the Customer on the opportunity to participate in the acceptance of the Goods within 24 hours upon receipt of the accusing call. If the Executor does not confirm his participation in acceptance of the Goods within the specified period, the Customer has a right to make the acceptance unilaterally. In this case unilateral act of the Customer on acceptance of Goods shall be the constitute grounds for mutual settlements and claims.",docx,0.900
CONTRACT of executor__headings_fixed,8,PROPERTY ACCOUNTABILITY,,"In case of delay in delivery or short delivery of Goods the Executor shall pay the Customer a fine to the amount of 0.5% of the cost of Goods delivered with delay or short delivery of Goods per each day of delivery delay, however the total amount of penalty shall not exceed 50% of the delayed or short delivered Goods’ cost.
In case of non-use of the Letter of Credit issued at the request of Executor or partial drawing under a letter of credit during the term of validity, subject to harmonization with the Executor of the Letter of Credit’s draft during the issuing the Letter of Credit, the Executor shall pay the Customer a penalty at the rate of 5% of non-used Letter of Credit amount.
In case of the Goods payment delay as per p.6.6., the Customer shall pay to the Executor a penalty at the rate of 0.4% of the unpaid amount for each day of the delay, however the total amount of penalty shall not exceed 50% of the unpaid Goods cost.
For non-provision of the certificate of origin and the certificate of conformity with shipping documents or provision of the certificate of origin with mistakes Executor shall indemnify the Customer against all damages connected with excessive payment of customs fees and other payments incurred by the Consignee due to Executor’s fault and shall pay a penalty at the rate of 10% of excessively paid customs fees.
For unreasonable refusal of Goods acceptance delivered by the Executor in accordance with the specified in the present Contract delivery period, the Customer pay the Executor a penalty at the rate of 5% of the Goods amount, which the Customer refused to receive.
At delivery of the inadequate quality Goods (not in compliance with standards, technical conditions stipulated by the present Contract), the Executor shall pay the Customer a penalty at the rate of 10% of the cost of the inadequate quality Goods.
Completed penalty payment on the present contract does not discharge sides from obligations of the present contract.",docx,0.558
CONTRACT of executor__headings_fixed,9,FORCE MAJEURE,s_10_force_majeure,"Parties are relieved from the responsibility for partial or full non-fulfillment of obligations under the present Contract if such non-fulfillment was consequence of force majeure circumstances, such as fires, flooding, earthquakes, military actions, embargo on export or import, etc. if these circumstances have directly affected to executions of the present Contract. In such case, fulfillment of obligations postponed for the period of durations of such circumstances.
The Party, for which the impossibility of execution of obligations under the present Contract was created, is obliged to inform other Party within 15 days about the time of beginning and the end of above-mentioned circumstances. The untimely notice on force majeure circumstances deprives corresponding Party of the right to refer to them in the future.
The Certificate of the relevant authorities serves as appropriate proof of presence of above mentioned circumstances and their durations.
If these circumstances and their consequences will last more than 2 months each of Parties has the right to terminate the present Contract in full or in part, and in this case neither of the Parties will have a right to demand from the other Parties indemnification, connected with non-fulfillment obligations under the present Contract.",docx,1.000
CONTRACT of executor__headings_fixed,10,DISPUTES RESOLUTION,dispute_resolution,"All disputes and disagreements which can arise during the discharge of the present Contract will be solved whenever possible by negotiations between Parties.
When not reaching an agreement, the disputes are reviewed in the Economic court of Moscow region of the Russian Federation according to current legislation of the Russian Federation.
The submission of a claim should precede the surrender of documents to judicial authorities.
All the claims are considered by the Parties within one month as from receipt.
The material and procedural law of the Russian Federation is applicable.
CONTRACT TERM
The present contract comes into force from the moment it is signed by the parties and is valid until __.__. 20__ y.",docx,0.900
